t,i,x,y,r,theta,xK,tc, therm, dc
1678497860.2422462, -3.2, -0.0014856442, -4.6990140000000005e-05, 3.200864e-06, 107.4794, 0, 0, 0, 7.0
1678497865.9245021, 3.2, -0.0018366, -9.084001999999999e-05, 5.257136e-06, 121.6585, 0, 0, 0, 7.333333333333333
1678497871.4133613, -3.2, -0.0013101662, 6.994284e-05, 5.92836e-06, 171.1119, 0, 0, 0, 7.333333333333333
1678497877.1223307, 3.2, -0.0028163520000000003, -7.622337999999999e-05, 5.375625999999999e-06, 163.8532, 0, 0, 0, 7.666666666666666
1678497882.5871952, -3.2, -0.0023337880000000003, 0.00037689200000000004, 3.556392e-06, 167.5826, 0, 0, 0, 7.666666666666666
1678497888.2834218, 3.2, -0.002450774, -3.2373520000000006e-05, 5.381896e-06, 175.8353, 0, 0, 0, 8.0
1678497893.7523491, -3.2, -0.002319164, -0.00029547279999999997, 4.755317999999999e-06, 161.9771, 0, 0, 0, 8.0
1678497899.4279764, 3.2, -0.0025092660000000004, 0.00046459159999999997, 5.3891700000000004e-06, 180.0757, 0, 0, 0, 8.333333333333332
1678497904.903488, -3.2, -0.002684744, 0.00011379269999999999, 4.150648e-06, 184.1289, 0, 0, 0, 8.333333333333332
1678497910.5953128, 3.2, -0.0019389621999999999, 0.00011379269999999999, 4.932246000000001e-06, 113.1668, 0, 0, 0, 8.666666666666666
1678497916.0732503, -3.2, -0.0015441368, 0.0005522914, 4.415841999999999e-06, 175.9475, 0, 0, 0, 8.666666666666666
1678497921.7869272, 3.2, -0.0026116280000000004, 0.0011223396000000002, 1.8008954e-05, 14.39286, 0, 0, 0, 9.0
1678497927.282478, -3.2, 0.015886678, 0.006676656, 3.470812e-05, 22.69433, 0, 0, 0, 9.0
1678497932.9614208, 3.2, 0.016047534, 0.006691272, 3.47621e-05, 22.60852, 0, 0, 0, 9.333333333333332
1678497938.4612465, -3.2, 0.0159013, 0.00661819, 3.441572e-05, 22.59729, 0, 0, 0, 9.333333333333332
1678497944.1581514, 3.2, 0.01594517, 0.006647422, 3.4561900000000005e-05, 22.63089, 0, 0, 0, 9.666666666666666
1678497949.6514783, -3.2, 0.015959794000000003, 0.006647422, 3.4577639999999995e-05, 22.65694, 0, 0, 0, 9.666666666666666
1678497955.3369682, 3.2, 0.016003662, 0.006647422, 3.4642880000000005e-05, 22.60109, 0, 0, 0, 10.0
1678497960.8194559, -3.2, 0.01603291, 0.006676656, 3.4719359999999996e-05, 22.64568, 0, 0, 0, 10.0
1678497966.4871073, 3.2, 0.01603291, 0.006691272, 3.470812e-05, 22.60109, 0, 0, 0, 10.333333333333332
1678497972.0104463, -3.2, 0.01603291, 0.006691272, 1.788972e-05, 45.63443, 0, 0, 0, 10.333333333333332
1678497977.6926007, 3.2, -0.0026116280000000004, 0.00034765859999999997, 5.331214000000001e-06, 172.3752, 0, 0, 0, 10.666666666666666
1678497983.1905072, -3.2, -0.0025238879999999997, 0.0003915086, 5.045904e-06, 36.29502, 0, 0, 0, 10.666666666666666
1678497988.8838966, 3.2, 0.017085778000000003, 0.007173622, 3.782398e-05, 22.34349, 0, 0, 0, 11.0
1678497994.3628416, -3.2, 0.016661706, 0.006925138, 3.600612e-05, 22.47617, 0, 0, 0, 11.0
1678498000.0351017, 3.2, 0.016632459999999998, 0.006925138, 3.612086e-05, 22.5621, 0, 0, 0, 11.333333333333332
1678498005.5073204, -3.2, 0.016632459999999998, 0.006895906, 3.604888e-05, 22.56933, 0, 0, 0, 11.333333333333332
1678498011.2068913, 3.2, 0.016632459999999998, 0.00688129, 3.602188e-05, 22.51915, 0, 0, 0, 11.666666666666666
1678498016.685135, -3.2, 0.016632459999999998, 0.0069105220000000005, 3.604888e-05, 22.50134, 0, 0, 0, 11.666666666666666
1678498022.3774035, 3.2, 0.016647082, 0.0069105220000000005, 3.60759e-05, 22.54427, 0, 0, 0, 12.0
1678498027.856261, -3.2, 0.016647082, 0.006895906, 3.602652e-05, 22.52646, 0, 0, 0, 12.0
