time,desired temp,current,tc_temp
1677895720.9153738,34.6739306657519,0.48108166834867405,34.5770301
1677895725.927298,34.75744927018941,0.4813650723221671,34.6646232
1677895730.9160113,34.84077438205541,0.47864121530655224,34.7575569
1677895735.9211116,34.92418995390396,0.48839119098996825,34.8263778
1677895740.9509835,35.00763526052297,0.4868716730213888,34.9173889
1677895745.983622,35.09173500229976,0.487766041090633,35.0041084
1677895750.954584,35.174553538263446,0.495149220201195,35.0770225
1677895755.967926,35.2581403224673,0.49771721536480196,35.1603622
1677895760.981675,35.34153882751922,0.4913445939883102,35.2605667
1677895765.9717243,35.42498452752889,0.4864170571813675,35.357254
1677895770.981005,35.50836255242487,0.4894121759399779,35.4381523
1677895775.9871423,35.59179715404968,0.4936826031036235,35.5167961
1677895780.9935467,35.67523386567891,0.4920431842774673,35.6069374
1677895786.0043826,35.758603315453335,0.5045408420510135,35.669754
1677895791.0037723,35.84207094202499,0.515182449373117,35.7371978
1677895796.0133226,35.925446797311906,0.52010837444937,35.8161849
1677895801.014573,36.00908412228088,0.5240845567406647,35.8974685
1677895806.033069,36.09243710130514,0.5255941462854218,35.9832611
1677895811.0961003,36.176943068604274,0.5217665296177059,36.0803146
1677895816.0620039,36.259490447144316,0.5133880254667944,36.1833992
1677895821.054531,36.3430311053004,0.5128804296773437,36.2715301
1677895826.0674152,36.426298376819105,0.5142955048571745,36.3555068
1677895831.0716693,36.50991034597219,0.5219245332467,36.4279708
1677895836.0822527,36.59339178095321,0.5254793702610401,36.508583
1677895841.0792587,36.676749011775456,0.5338670245274924,36.580017
1677895846.0860603,36.760128264527125,0.5346718700165052,36.6664695
1677895851.086684,36.843338303665924,0.5307408696775523,36.7616271
1677895856.087581,36.92679853131434,0.5272813492846197,36.8555679
1677895861.1001034,37.010185759167484,0.5241490419573149,36.9483222
1677895866.104908,37.09379590839208,0.5325787217794173,37.0188217
1677895871.1055121,37.17709991226654,0.5292833515233109,37.1119728
1677895876.1210673,37.260718223353834,0.5329799421646702,37.1916618
1677895881.1186554,37.34398196627757,0.5349348552834774,37.2744903
1677895886.1294386,37.42740067730408,0.5380087972826323,37.3553733
1677895891.1404552,37.511015499532824,0.5444680283853258,37.4301147
1677895896.1487854,37.5943456936882,0.5512371770687116,37.5044174
1677895901.1620955,37.67804028282623,0.548018028708385,37.598526
1677895906.172185,37.76159590174815,0.5449238115931897,37.6917724
1677895911.1823459,37.84512090772451,0.5479717318100576,37.7728271
1677895916.2179694,37.929078079164626,0.5554597837299,37.8459892
1677895921.1938171,38.01196338822504,0.5572778243426746,37.9293556
1677895926.1979241,38.09514048188985,0.554571290722327,38.0216217
