f2,b2,v2,x2,y2,r2,theta2,x8,y8,r8, theta8 
92.16,2.12,0.1,4.62388,-0.001570137,0.04609265,0.4353976,0.0542033,0.000835422,0.0542109,0.888
92.16,2.02,0.1,4.616569,-0.001570137,0.04616577,359.9804,0.0542071,0.00073624,0.0542147,0.78
92.16,1.92,0.1,4.609257,-0.001570137,0.04609302,359.9805,0.0542033,0.000766758,0.0542109,0.816
92.16,1.82,0.1,4.616569,-0.001570137,0.0460926,0.2522203,0.0542071,0.00073624,0.0542147,0.78
92.16,1.72,0.1,4.601945,0.03497142,0.04616572,0.3438646,0.0542071,0.000770573,0.0542147,0.816
92.16,1.62,0.1,4.616569,-0.008878449,0.0462388,0.1621751,0.0541995,0.000778202,0.0542033,0.822
92.16,1.52,0.1,4.601945,0.03497142,0.04609275,0.1619182,0.0542033,0.000793461,0.0542109,0.84
92.16,1.41,0.1,4.616569,0.01304649,0.04601974,359.9805,0.0542033,0.000896458,0.0542109,0.948
92.16,1.31,0.1,4.601945,0.005738174,0.04616652,0.1629505,0.0542033,0.000770573,0.0542109,0.816
92.16,1.21,0.1,4.594634,0.0203548,0.04616569,359.9805,0.0541995,0.000789646,0.0542071,0.84
92.16,1.11,0.1,4.609257,0.02766311,0.04609257,0.2534224,0.0541956,0.000804905,0.0542033,0.852
92.16,1.01,0.1,4.616569,-0.001570137,0.04609265,0.07121587,0.0541956,0.000747684,0.0542033,0.792
92.16,0.91,0.1,4.601945,0.0203548,0.04623898,0.07155585,0.0542033,0.000816349,0.0542109,0.864
92.16,0.81,0.1,4.601945,0.03497142,0.04616572,0.2530204,0.0541956,0.000747684,0.0542033,0.792
92.16,0.71,0.1,4.62388,-0.008878449,0.04609265,0.07121587,0.0541995,0.00074387,0.0542071,0.792
92.16,0.61,0.1,4.616569,-0.001570137,0.04601949,359.9805,0.0541956,0.000755314,0.0542033,0.798
92.16,0.51,0.1,4.594634,0.02766311,0.04609257,0.3438646,0.0541995,0.000793461,0.0542071,0.84
92.16,0.4,0.1,4.609257,0.0203548,0.04616577,359.9805,0.0541956,0.000877384,0.0542033,0.93
92.16,0.3,0.1,4.601945,0.0203548,0.04602139,0.1621751,0.0541995,0.000793461,0.0542071,0.84
92.16,0.2,0.1,4.62388,0.01304649,0.04609257,0.4367855,0.054188,0.000762943,0.0541956,0.81
92.16,0.1,0.1,4.609257,-0.001570137,0.04609302,359.8893,0.0541956,0.000793461,0.0542033,0.84
92.16,0.0,0.1,4.616569,0.005738174,0.04616577,0.2530204,0.0541956,0.000793461,0.0542033,0.84
92.16,0.0,0.1,4.609257,-0.008878449,0.04594652,359.89,0.054188,-0.00133134,0.0542071,-1.404
92.16,-0.1,0.1,4.616569,-0.001570137,0.0460945,0.07155585,0.0541918,0.000762943,0.0541995,0.81
92.16,-0.2,0.1,4.609257,0.0203548,0.04616577,0.07121587,0.0541918,0.000762943,0.0541995,0.804
92.16,-0.3,0.1,4.609257,0.005738174,0.04594679,359.9805,0.0541995,0.000755314,0.0542071,0.798
92.16,-0.4,0.1,4.616569,0.005738174,0.04609265,359.8896,0.0541995,0.00073624,0.0542071,0.78
92.16,-0.51,0.1,4.601945,-0.001570137,0.0460199,0.2518221,0.054188,0.000965122,0.0542033,1.02
92.16,-0.61,0.1,4.601945,0.005738174,0.04609257,0.07121587,0.054188,0.000797275,0.0541956,0.846
92.16,-0.71,0.1,4.609257,-0.001570137,0.04623963,0.1624327,0.054188,0.000740055,0.0541956,0.786
92.16,-0.81,0.1,4.609257,0.01304649,0.04623888,0.2526197,0.054188,0.000831608,0.0541918,0.882
92.16,-0.91,0.1,4.601945,-0.001570137,0.04609265,0.07110326,0.054188,0.000820164,0.0541956,0.87
92.16,-1.01,0.1,4.594634,0.01304649,0.0460926,0.344959,0.054188,0.000812534,0.0541918,0.858
