t,i,x,y,r,theta,xK,tc, therm
1708976321.9791381, -3.2, -1.247321e-06, 3.497142e-08, 1.400876e-06, 180.0642, 0, 0, 0
1708976328.274292, 3.2, -1.481292e-06, 5.738173e-09, 1.415499e-06, 180.3613, 0, 0, 0
1708976334.5858345, -3.2, -1.188829e-06, -1.618676e-08, 1.400958e-06, 180.6586, 0, 0, 0
1708976340.9061046, 3.2, -1.269256e-06, -1.618676e-08, 1.400865e-06, 180.9559, 0, 0, 0
1708976347.220362, -3.2, -1.247321e-06, -1.570137e-09, 1.400958e-06, 180.6586, 0, 0, 0
1708976353.5159395, 3.2, -1.210763e-06, -1.570137e-09, 1.38627e-06, 180.6655, 0, 0, 0
1708976359.8512025, -3.2, -1.298502e-06, -3.811169e-08, 1.393751e-06, 180.9609, 0, 0, 0
1708976366.1602058, 3.2, -1.364307e-06, -6.003663e-08, 1.393751e-06, 180.3631, 0, 0, 0
1708976372.4778314, -3.2, -1.627523e-06, -8.878449e-09, 1.430138e-06, 180.3613, 0, 0, 0
1708976378.7846758, 3.2, -1.269256e-06, -3.811169e-08, 1.408372e-06, 180.6586, 0, 0, 0
1708976385.1235893, -3.2, -1.371618e-06, -4.542001e-08, 1.401203e-06, 180.9559, 0, 0, 0
1708976391.4325752, 3.2, -1.269256e-06, -5.272832e-08, 1.386584e-06, 180.0646, 0, 0, 0
1708976397.7407796, -3.2, -1.422799e-06, 1.304649e-08, 1.408204e-06, 180.9609, 0, 0, 0
1708976404.0695827, 3.2, -1.583654e-06, -1.618676e-08, 1.400958e-06, 180.3651, 0, 0, 0
1708976410.4293387, -3.2, -1.305814e-06, -6.003663e-08, 1.38644e-06, 180.9659, 0, 0, 0
1708976416.8001406, 3.2, -1.51785e-06, -2.349507e-08, 1.393751e-06, 180.3651, 0, 0, 0
1708976423.1559258, -3.2, -1.444734e-06, -3.811169e-08, 1.393647e-06, 180.0646, 0, 0, 0
1708976429.4850664, 3.2, -1.408176e-06, 2.766311e-08, 1.393581e-06, 180.669, 0, 0, 0
