t,i,temp_desired,temp_tc,therm_res,therm_temp
1684263500.5832863,32,0,33.2023849,0,0
1684263501.592557,32,0,33.1310119,0,0
1684263502.5995557,32,0,33.066082,0,0
1684263503.5736258,32,0,33.0105133,0,0
1684263504.5697162,32,0,32.9366111,0,0
1684263505.5660338,32,0,32.8652763,0,0
1684263506.5650866,32,0,32.8096046,0,0
1684263507.578768,32,0,32.7461166,0,0
1684263508.572152,32,0,32.6751327,0,0
1684263509.562186,32,0,32.6161575,0,0
1684263510.5551212,32,0,32.5495796,0,0
1684263511.5543814,32,0,32.4992408,0,0
1684263512.5971656,32,0,32.4399375,0,0
1684263513.5772703,32,0,32.3891983,0,0
1684263514.5755703,32,0,32.3127403,0,0
1684263515.580565,32,0,32.2604064,0,0
1684263516.5791888,32,0,32.1939735,0,0
1684263517.5901117,32,0,32.1303215,0,0
1684263518.5738707,32,0,32.0737113,0,0
1684263519.5796998,32,0.025637699999998098,31.9942321,0,0
1684263520.5792289,32,0.07239152500000046,31.9409332,0,0
1684263521.5696175,32,0.12530200081702292,31.8881168,0,0
1684263522.5678585,32,0.1873070190901751,31.8275871,0,0
1684263523.5658221,32,0.2613116896395326,31.7566986,0,0
1684263524.561678,32,0.3022051499999989,31.7095756,0,0
1684263525.5524216,32,0.3676744000000012,31.6477756,0,0
1684263526.5616066,32,0.40781309024194234,31.6034488,0,0
1684263527.558018,32,0.4569711999999999,31.5551128,0,0
1684263528.5483992,32,0.48663195000000137,31.521717,0,0
1684263529.5445185,32,0.5240959832499582,31.4851779,0,0
1684263530.544761,32,0.5536532250000006,31.454113,0,0
1684263531.5445325,32,0.5624904999999991,31.4408302,0,0
1684263532.544128,32,0.582002239900898,31.4225101,0,0
1684263533.6244762,32,0.5717295040777616,31.4271869,0,0
1684263534.6227486,32,0.5607228500000003,31.4368591,0,0
1684263535.637336,32,0.5494032749999995,31.4478492,0,0
1684263536.6483893,32,0.5190391749999979,31.4743385,0,0
1684263537.6491506,32,0.5070318512319992,31.4892864,0,0
1684263538.6427953,32,0.45554057055689795,31.5332908,0,0
1684263539.633302,32,0.43109657500000154,31.5617809,0,0
1684263540.6276278,32,0.3764234749999984,31.6112174,0,0
1684263541.6307538,32,0.3433471000000017,31.6475658,0,0
1684263542.6391346,32,0.30470045000000034,31.6857528,0,0
1684263543.6415966,32,0.26075203251367157,31.7286758,0,0
1684263544.6318643,32,0.21283422385630135,31.7753257,0,0
1684263545.6148477,32,0.18796492500000106,31.8046932,0,0
1684263546.604744,32,0.14964704431055476,31.8411026,0,0
1684263547.6248837,32,0.11896240000000091,31.8730506,0,0
1684263548.6308331,32,0.09596125208511505,31.8979911,0,0
1684263549.6266508,32,0.07637970355261042,31.9184322,0,0
1684263550.6303947,32,0.0621868000000001,31.933937,0,0
1684263551.62069,32,0.04900412499999973,31.9475841,0,0
1684263552.6338189,32,0.054356649999999895,31.9460315,0,0
1684263553.66048,32,0.05464863520853872,31.9454841,0,0
1684263554.6700904,32,0.04722264999999837,31.9513187,0,0
1684263555.6687424,32,0.07364604384173289,31.9312877,0,0
1684263556.6720734,32,0.07653705939107017,31.9250469,0,0
1684263557.673189,32,0.0944813349748738,31.909378,0,0
1684263558.6431127,32,0.11297033333314015,31.891613,0,0
1684263559.6519523,32,0.13430236889850192,31.8708152,0,0
1684263560.6488285,32,0.15750773353558475,31.8482303,0,0
1684263561.654892,32,0.19818380197005098,31.8109817,0,0
1684263562.6774602,32,0.22758970788079314,31.7800331,0,0
