t,i,temp_desired,temp_tc,temp_therm,res_therm
1681788952.7798615,19.07642949739507,0.47962835647663116,19.3817119,14.640484979643817,1004.17944
1681788957.7816806,18.993115241521707,0.48227431087527045,19.2889003,14.553173666347023,1003.92114
1681788962.8000977,18.90963718811086,0.4896120284068769,19.2052688,14.462075274770012,1003.65167
1681788967.805029,18.826142954025777,0.4938996665987747,19.1158638,14.372348224815385,1003.38629
1681788972.822488,18.742467056904346,0.501681658791586,19.0331287,14.28163936010644,1003.11804
1681788977.839709,18.65895939587962,0.5063767819069593,18.9447231,14.187617999587292,1002.84003
1681788982.8522751,18.57538864929886,0.5107115835609297,18.8557586,14.094034156900033,1002.56335
1681788987.8509052,18.492042818858337,0.5128955208097306,18.7632217,13.998252604770604,1002.28021
1681788992.851582,18.40873084385605,0.5254372747144744,18.6908855,13.898638215256744,1001.98578
1681788997.911118,18.32446778535258,0.5224279696019035,18.5872993,13.800082664050246,1001.69452
1681789002.8798783,18.241624426041156,0.5191013556436725,18.4856758,13.705233032798093,1001.41425
1681789007.8990476,18.157859026585133,0.5212059643823876,18.3942279,13.602643041868243,1001.11115
1681789012.908241,18.07452271301956,0.5246951533396835,18.306282,13.502848206062273,1000.81635
1681789017.9054918,17.991002769464366,0.526337983380673,18.2148551,13.403946837459776,1000.52423
1681789022.9227483,17.90751072883021,0.5287633053106912,18.1252899,13.299576344064391,1000.216
1681789027.9334874,17.824018795484417,0.5302830813168424,18.0342903,13.199947089126976,999.921814
1681789032.942014,17.74069414058736,0.5332768852506857,17.9466552,13.10381724268089,999.638
1681789037.9458888,17.657050982310487,0.5368240534002022,17.8599319,13.00205040978267,999.337585
1681789042.966335,17.573500310574087,0.5245527271112084,17.7433204,12.902089236183873,999.042542
1681789047.983271,17.489932293886056,0.5311541231080715,17.6642398,12.803540711068088,998.751709
1681789052.9908905,17.406392339064787,0.5355137598149645,17.580677,12.699662260894305,998.44519
1681789057.9845653,17.323018629545086,0.5414718688361884,17.5003528,12.600527482890032,998.15271
1681789062.9967942,17.239563837840272,0.5436124419122623,17.4125061,12.503675415071834,997.867004
1681789067.9989092,17.156302908255768,0.5418083714981206,17.3175735,12.405278989384282,997.576782
1681789073.0216038,17.072401463184864,0.5551369784896188,17.2513275,12.306703497741509,997.286072
1681789078.0206873,16.98930804649404,0.5589888555687074,17.1670761,12.210349745284375,997.001953
1681789083.0462193,16.905573077195996,0.5674375734794975,17.0909423,12.113010138851498,996.714966
1681789088.0450215,16.82212754805298,0.5663925763538413,16.9966526,12.01528440341629,996.42688
1681789093.0367894,16.7389579725207,0.5763953261727616,16.9242534,11.922349650696843,996.152954
1681789098.0602267,16.655247747097523,0.5850322560033837,16.8481121,11.825943915057607,995.868835
1681789103.1171682,16.57105392932307,0.5942287619131625,16.7721614,11.73103742330784,995.589172
1681789108.0681536,16.488291024361164,0.5916919803449787,16.6750469,11.636864347486512,995.311707
1681789113.091761,16.40478814362895,0.6103093296203611,16.6181125,11.53818215032204,995.020996
1681789118.0728385,16.32162680943222,0.6101144164829201,16.5244216,11.449516358161528,994.759827
1681789123.0889025,16.23797328789444,0.6113803015994211,16.4334926,11.356404186620061,994.485596
1681789128.1173236,16.154221438560995,0.6246705317821596,16.3656826,11.26027431807281,994.202515
1681789133.1204593,16.070932947788748,0.6332683810071328,16.2887325,11.168007916792972,993.930847
1681789138.1238427,15.987443581416322,0.6432108872018476,16.2137775,11.073220899104452,993.651794
