t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681588420.5249386, -3.2, 2.076838e-06, -1.62353e-06, 2.548698e-06, 322.9419, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588426.9896684, 3.2, -4.503587e-06, -1.696613e-06, 4.649989e-06, 199.5867, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
1681588433.4959006, -3.2, 2.881112e-06, -1.62353e-06, 2.932789e-06, 325.1067, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
1681588439.9809215, 3.2, -3.91866e-06, -1.62353e-06, 3.915598e-06, 201.2267, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588446.4606626, -3.2, 1.711259e-06, -1.62353e-06, 2.309176e-06, 327.1617, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588452.9742897, 3.2, -3.772429e-06, -1.550447e-06, 4.404752e-06, 201.0833, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588459.4827156, -3.2, 1.85749e-06, -1.62353e-06, 2.306374e-06, 317.8226, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0165406, 0.419741, 0.966
1681588465.9872618, 3.2, -4.430471e-06, -1.550447e-06, 4.487476e-06, 201.4224, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588472.4985282, -3.2, 2.369301e-06, -1.550447e-06, 2.872183e-06, 324.3943, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588478.9942973, 3.2, -2.968155e-06, -1.550447e-06, 3.447488e-06, 207.5808, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588485.5139062, -3.2, 2.296185e-06, -1.62353e-06, 2.578905e-06, 325.1067, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.986027, 0.0166017, 0.419741, 0.966
1681588508.1969929, 3.2, -4.064892e-06, -1.842779e-06, 4.067572e-06, 206.4767, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588514.7142591, -3.2, 2.515533e-06, -1.769696e-06, 3.118291e-06, 323.775, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588521.237177, 3.2, -3.553081e-06, -1.769696e-06, 3.675612e-06, 207.9614, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
